text,commit message for
"CLOUDSTACK-5557: UI > Network > Guest Network > IP Address > fix a bug that SourceNAT IP, VPC tier IP wrongly showed Configuration tab(firewall/portforwarding/loadbalancing).",bug fixing
related UI change after API Bug (#7498) is fixed.,bug fixing
CLOUDSTACK-7754: Templates source_template_id is null when it is created from Snapshot with its corresponding volume removed. Fix it by searching for volumes including removed. Also bring the logic of setting source template id to create() method than execute which was wrongly put in.,bug fixing
bug 11202: cloudStack - Service Offering page - fix a bug that Network Rate didn't get refreshed when another service offering is selected.,bug fixing
Remove duplicated 1.613 section from changelog,commits that belong to no category
"cloudStack 3.0 new UI - system VM page - migrate system vm - fix a JS error ""args.data.id is undefined""",bug fixing
Tiny performance improvement.,improving non-functional requirements
Remove duplicate scripts and move the remaining items to the systemvm project,commits that belong to no category
Unify and encapsulate deployment flow methods and params,commits that belong to no category
Remove duplicate code block,commits that belong to no category
Improved performance by clearing the map instead of recreating it.,improving non-functional requirements
"improved serialize performance, asm direct mode",improving non-functional requirements
CLOUDSTACK-8765: fix vm migration failure due to different dev name on KVM,bug fixing
performance improvement based on the input from http://www.nabble.com/Maven-job-5-times-slower-than-a-free-style-job--td14651245.html,improving non-functional requirements
updated to new grouping features,adding new features
[JENKINS-22811] Fixed compilation error,bug fixing
reordered the features so its easier to read,adding new features
correct feature pack licenses.html title,adding new features
bug fix in LRU: wrong in determining whether the available bytes can be satisfied without eviction.,bug fixing
Added support for an update on load feature for plugins. Thanks Raphfrk!,adding new features
"bug 10094: The problem was we added code that won't add any more ha work items if it already has one.  However, that is wrong.  HA Manager stores the existing snapshot of the VM state machine.  Before working on HA for a VM, it checks to see if that snapshot has been changed.  So by not scheduling HA work, we've effectively made HA not work under multi-failure situations.  I've fixed by removing that code and instead at the time of performing HA, do a quick check to see if there are pwork underway for the same VM and work scheduled in the future for that VM.  If there are work scheduled in the future, then we simply cancel the current work.  If there are already work underway, then we retry again in 1 minute.",bug fixing
Improve readability of ComparisonFailure,improving non-functional requirements
Worked on CREATE LINK command to improve performance reducing memory used.,improving non-functional requirements
Fixed deployVirtualMachine API does not throw an error when cpunumber is specified for static compute offering,bug fixing
Improve performance and better decouple visualization from graph structure by updating labels text in world building phase only,improving non-functional requirements
Minor performance improvements on StringUtils.join.,improving non-functional requirements
"The Maven ""feature"" goal has been renamed to ""cucumber"". The Maven property configuration.args (<configuration><args>...) has been removed. Use configuration.cucumberArgs instead.",adding new features
"Performance improvement for timesSquared() - in the sparse case, dot products are often zero, and there's no need to add.",improving non-functional requirements
bug 10416: fixed the bug in agentLoadBalancerPlanner,bug fixing
AccessDeniedException fixed,bug fixing
"HBASE-4820. Distributed log splitting coding enhancement to make it easier to understand, no semantics change. Contributed by Jimmy Xiang.",improving non-functional requirements
Introduce a surprising performance improvement in DefaultRoboModule,improving non-functional requirements
Improve the maintainability level of the backup-profile IT test by removing hardcoded number of expected rules,improving non-functional requirements
new UI - fix a bug that host and primary storage appear more than once when clicking between different left menu.,bug fixing
stability monitors are inheritable - thus don't use Listener.Iheritance feature + always remove listener when stability monitor is registered,adding new features
"api: Fix failing unit test, regression due to recent merge",bug fixing
bug 7106: fixing the account updating bug,bug fixing
new UI - fix a bug that Detach ISO option didn't show when a VM has ISO attached.,bug fixing
"Merge: Performance improvements: DiskLruCache, HttpResponseCache.",improving non-functional requirements
Made it possible to select a peptide by clicking in the sequence coverage panel. Moved some spectrum options from the file menu to the annotation menu. Added an export spectrum as mgf option to the annotation menu. Fixed a bug in the maximize frame if closing feature. Fixed a bug in the PTM tab related to the hiding of the score columns.,adding new features
attempting to improve performance,improving non-functional requirements
HIVE-9106 : improve the performance of null scan optimizer when several table scans share a physical path (Pengcheng Xiong via Ashutosh Chauhan),improving non-functional requirements
HBASE-4054 Usability improvement to HTablePool,improving non-functional requirements
CLOUDSTACK-6893: fix enum ValueOf issue which causes systemvm fail to start,bug fixing
HBASE-3928 Some potential performance improvements to Bytes/KeyValue,improving non-functional requirements
HBASE-9488 Improve performance for small scan,improving non-functional requirements
Remove some features from JwtTokenStore,adding new features
"Capture high-level memory allocation

Thread allocated bytes on each trace, and heap histogram for global view.

Better JVM feature detection, and page to display this.",adding new features
"HADOOP-2495 inor performance improvements: Slim-down BatchOperation, etc.",improving non-functional requirements
"CLOUDSTACK-7610,CLOUDSTACK-7611,CLOUDSTACK-7612: Fixed following bugs in AlertsSyslogAppender 1. Added sync alert. 2. Changed unrecognised alerts are send as unknown instead of null. 3. Added unit tests to cover some more scenarios.",bug fixing
small refactor to avoid duplicate code,commits that belong to no category
Fail the build on duplicate resources or classes on the classpath,commits that belong to no category
Config Import and Jetty stuff added to New Feature,adding new features
new UI - VM Wizard - Root Disk Offering - fix a bug that Custom Data Size field is not validated when selected template type is ISO.,bug fixing
HADOOP-11594. Improve the readability of site index of documentation. Contributed by Masatake Iwasaki.,improving non-functional requirements
"bug 9272: fixed the race condition bug when we tried to remove vm from SG after it was expunged (expunge interval was really small, 60 sec).",bug fixing
#5649 Fix FileAlreadyExistsException when downloading file using jersey2 (#5654),bug fixing
"new UI - cluster page - fix a bug that zone name and pod name didn't show in Add Host dialog, Add Primary Storage dialog.",bug fixing
"HIVE-17540: remove feature: describe pretty (Zoltan Haindrich, reviewed by Ashutosh Chauhan)",adding new features
Add missing audit log feature,adding new features
rely on a newer htmlunit with bug fixes,bug fixing
Performance enhancement for JSONWriter.,improving non-functional requirements
[kotlin] Fix syntax errors on localVariableHeader in api.mustache (#6660),bug fixing
JBRULES-1915: Improve process persistence usability,improving non-functional requirements
Improved performance by handling begin and end of offsets in cluster data.,improving non-functional requirements
improved Date property parse performance.,improving non-functional requirements
"Cleaner output, better skyline packing, fixed minor bugs.",bug fixing
Use defaults for client options and fix some bugs in BlockInStreams.,bug fixing
Might improve static files performance a tiny bit,improving non-functional requirements
Improve autosave and backup feature (#2194),adding new features
"bug 7553: fix a server-side bug - listServiceOffering API didn't take in ""issystem"" parameter.",bug fixing
BZ-1171859 - History data cleanup feature for process / human task,adding new features
BZ-982643 - Executing basic processes takes much longer comparing to jbpm5 - improved human task performance,improving non-functional requirements
new UI - template page - fix a bug: match parameters of doEditTemplates2() function.,bug fixing
JBRULES-1915: Improve process persistence usability,improving non-functional requirements
"Added tags and lines attributes to @Feature, making it possible to run a single scenario (or just some)",adding new features
bug 7448: zone tree - network - Add IP range to public network - fix a bug that VLAN ID field disappear after creating a new IP range to public network.,bug fixing
"a bug fix in TachyonURI, simplify it, add two sample unit tests",bug fixing
"Improve the look of the trace id

Trace id will be used in the trace export filename (upcoming feature)
and it looks better as a pure hex number instead of the current
'<decimal number>-<hex number>'.",adding new features
Add Infinispan StoreFeatures cluster mode comment,adding new features
S2S VPN: CS-15998: Fix wrong vpc id in Site2SiteVpnGatewayResponse,bug fixing
Improved performance to retrieve fields from documents,improving non-functional requirements
try to make it writable by using a Mustang feature.,adding new features
HIVE-13027: Configuration changes to improve logging performance (Prasanth Jayachandran reviewed by Sergey Shelukhin),improving non-functional requirements
"ApiServer: Fix apidiscovery fail case, fix comment",bug fixing
Improve performance of URLOutputStream. Closes #654.,improving non-functional requirements
"[ISPN-311] (CacheLoader.loadKeys(), and performance improvements when rehashing from a cache store)",improving non-functional requirements
[SMALLFIX] Fix possible wrong assumption to derive logs dir,bug fixing
"Add default feature path, default glue and default formatter once",adding new features
bug fix. Or should I say working around a bug in Maven?,bug fixing
[HUDSON-3077] Fixed a random failure.,bug fixing
This fixes a bug with the current Setup UI on Linux:,bug fixing
bug 9101: cloudStack UI - Edit Instance - fix a bug that HAEnabled dropdown was empty.,bug fixing
WFLY-7409 BanTransitiveDependencies for Full Feature Pack module on IBM jdk,adding new features
Calculator Feature is now passing!,adding new features
CLOUDSTACK-9538: FIX failure in Deleting Snapshot From Primary Storage RBD Storage if vm has been removed,bug fixing
Add feature to emit Graphite metrics based on configuration,adding new features
"use Guava to do parameter check, and fix testcase failure",bug fixing
SONAR-6068 Improve performance of FileSystem query operation,improving non-functional requirements
"CloudStack UI - Volume page - fix a JavaScript error ""Unable to get value of the property 'iscustomized': object is null or undefined""",bug fixing
"CLOUDSTACK-9298: Improve ListTemplatesCmd, ListVolumesCmd and ListVMsCmd performance",improving non-functional requirements
Reorganizing the recent activity feature,adding new features
"Internal changes to DHNS to improve filtering features. Return of the view concept, and refactoring in Graph control. Add the GraphModel and rationalize directed/undirected/mixed graphs access. Small changes in GraphAPI, mainly in access with filtering.",adding new features
"bug 6836: fixing the api responses for disk offerings. We were using the wrong objext name, and were only returning success responses. Now, we are constructing the apt object and returning the entire object back.",bug fixing
Correct comments of BlockInStream and EmptyBlockInStream: fix typo and wrong grammar,bug fixing
"TableLayout, fixed spacing bug. Added row() to Cell for convenience.",bug fixing
Index: improved performance for most common use cases + reduced code,improving non-functional requirements
using localizer 1.4 to fix the bug in handling */ in the string,bug fixing
Improve ProcessMonitor readability,improving non-functional requirements
Performance improvements: scan all classes just once,improving non-functional requirements
AVRO-765. Java: Improvement to BinaryDecoder readLong performance,improving non-functional requirements
Improve IT in order to better support performance issues,improving non-functional requirements
bug 6141: fixed the error of not providing the right error for an incorrect diskoffering,bug fixing
1. rename createInStream/OutStream to be getInStream/OutStream. 2. Fix a bug in copyToLocal in TFsShell.,bug fixing
"Add ""retreive more info"" feature -- resolves redirectors and gets first product result inside the app",adding new features
"new UI - instance page - router tab - related UI change after bug 6787(""RebootRouter API should return an embedded object on success"") is fixed.",bug fixing
"bug 12381: fix a bug that opening another window to view console causes a JavaScript error ""invalid argument""",bug fixing
[FIXED HUDSON-5459] fix singular form when there is only 1 test or 1 failed test,bug fixing
volume upload: fixed the error message incase of wrong image format,bug fixing
Improved the performance of FixedSize Encoder,improving non-functional requirements
"Add ""Schedule"" to featured list",adding new features
"Make public to enable reuse; add convenience constructor for no cropping, or cropping without a Rect object. Also optimize a few things.",improving non-functional requirements
Modified logging to use debug logging and only if enabled in order to improve theme configuration admin performance (#929),improving non-functional requirements
HADOOP-10691. Improve the readability of 'hadoop fs -help'. Contributed by Lei Xu.,improving non-functional requirements
[DROOLS-1560] simplify and improve performances of ChainedProperties â€¦ (#1257),improving non-functional requirements
"- [ 1297576 ] New feature: Printing of entry preview. 

Moved to popup menu instead of tool menu bar.",adding new features
[ALLUXIO-1322] Fixed build failures,bug fixing
Added send barcode feature,adding new features
initial check in for forward to feature.,adding new features
"address comments, fix errors about punctuation",bug fixing
[FIXED HUDSON-2852] Fixed the encoding problem that I introduced in rev.13966,bug fixing
Remove duplicate/obsolete tests,commits that belong to no category
Remove duplicate code and dependency on metadata,commits that belong to no category
Code readability improvement,improving non-functional requirements
CLOUDSTACK-8642: SSO Method not allowed bug fix. Due to CLOUDSTACK-8505 and commit 1c81b241e7914b24b06c3b7b3ee98bc0d3b4f68b,bug fixing
CommandLineRunner can now handle URIs again; refactored some duplicated code,commits that belong to no category
Issue #614: improve RAF.hash performance,improving non-functional requirements
Added a failing feature for #61.,adding new features
"Improve logging, Improve performance",improving non-functional requirements
[DROOLS-1560] simplify and improve performances of ChainedProperties â€¦ (#844),improving non-functional requirements
Minor: improved performance thanks to the reported by Danny,improving non-functional requirements
CLOUDSTACK-3467: Fixing the unit tests for implicit dedication planner. When fix for bug 2662,bug fixing
Issue #1404  WAL performance improvements.,improving non-functional requirements
cloudStack 3.0 new UI - instance wizard - fix a bug that isolated network didn't show in step 5.,bug fixing
"LibvirtComputingResource: Fix coverity scan, recent bugfixes revealed a potential unhandled null in getResizeScriptType",bug fixing
"Refactor test code, remove duplicates at FailoverOperatorTest",commits that belong to no category
bug 12519: system page - guest network - fix a bug that project-specific networks didn't show.,bug fixing
I misunderstood the use of ThreadPoolExecutor. Fixed a problem so that it does the correct parallel loading,bug fixing
"optimized OPerformanceStatisticManager#getSessionPerformanceStatistic, about +3k ops on single-thread index/cluster insert",improving non-functional requirements
BroadleafCommerce/QA#2760 : Cherry Pick Commit 691da0a487d8934455f3c3d0ab20ddd0fe8efd53 - (moving 2760 performance enhancements from 5.0 to 5.1),improving non-functional requirements
#1706 Clarify how pagerank works in the code and improve performance. Also adapt code to correctly take into account parallel edges so each neighbor is not processed several times (+ ignore self loops too).,improving non-functional requirements
"Update query-filter.asciidoc

Would be nice to add a warning on the tradeoff of wrapping queries as filters (ie. the queries will lose highlighting, scoring, etc.. features that do not apply to filters)",adding new features
bug 13515: system page - network page - fix a bug that zoneId didn't get passed to listPhysicalNetworks API.,bug fixing
P1! Bug fix to avoid handling form submission incorrectly.,bug fixing
CLOUDSTACK-7811: Fixed the script 'test_persistent_networks.py' - Test Cases failing on Simulator due to hardware resources requirement for test execution,bug fixing
Improved PerformanceMonitor plugin system,improving non-functional requirements
CLOUDSTACK-6663: Fixed Hyper-V agent fails to start on some setups. During startup agent tries,bug fixing
"bug 12152: take snapshot action - fix a bug that showed message ""snapshot undefined is ready""",bug fixing
"- Usability improvement on the preferences pages (code-formatter, comment block and code-style showing examples)",improving non-functional requirements
HDFS-9260. Improve the performance and GC friendliness of NameNode startup and full block reports (Staffan Friberg via cmccabe),improving non-functional requirements
"CLOUDSTACK-3123: UI > Infrastructure menu > Secondary Storage > Secondary Storage detailView > delete action > fix a JS error ""args.context.secondarystorages is undefined"" when delete action is clicked.",bug fixing
bug 7573: Resource page - Add Pod shortcut - fix a bug that duplicate newly pod node appears when zone node is close after add pod action succeeds.,bug fixing
[ALLUXIO-2739] fix an error in runMiniBentchmark,bug fixing
Merge pull request #689 from pveentjer/improvement/3.maintenance/connectionrefusedexception-improvement2,improving non-functional requirements
HADOOP-14216. Addendum to Improve Configuration XML Parsing Performance (jeagles),improving non-functional requirements
bump jetty; fix a remoteblockinstream bug; improve tests,bug fixing
Issue #5812 read cache #openFile performance was improved by pre-check that file is already opened.,improving non-functional requirements
Remove duplicate Utils getters,commits that belong to no category
CLOUDSTACK-4950: fix the problem to support sessions to multiple vCenter instance,bug fixing
prelaminary work to ClientUserCodeDeployment feature,adding new features
CLOUDSTACK-5959: Fixed cascading failures in portable IP test cases,bug fixing
[ISPN-97] - Improve configuration processing and maintenance,improving non-functional requirements
"fixed android project classpaths, fixed Timer locking bug",bug fixing
Detail view: Fix error on refresh from async action,bug fixing
CORE-2528 Oracle: improve unique constraint snapshot query performance,improving non-functional requirements
HBASE-14466 Remove duplicated code from MOB snapshot tests,commits that belong to no category
[FIXED HUDSON-3942] Fixed in 1.325. We probably need some kind of mechanical checks to make sure all the fields are variable expanded. Otherwise this is too error prone.,bug fixing
ISPN-1015 - Optimize HotRod client to match Memcached performance,improving non-functional requirements
bug 10759: fixed the bug in SqlGenerator - attributes weren't set right if GENERIC.DAO.REMOVED attribute was present in the list (happened for disk and service offerings),bug fixing
"CLOUDSTACK-8040: UI: register template dialog, register ISO dialog - fix a bug that hidden fields fail to be generated before cloudStack.preFilter.createTemplate() is called. Thus, cloudStack.preFilter.createTemplate() is unable to change hidden fields's css display property from none to inline-block for admin users.",bug fixing
Experimental modification to Save as action. Incorporation of exact duplicate removal into duplicate removal. Experimental addition of autocompletion feature.,adding new features
Refactor some duplicated math methods,commits that belong to no category
[SMALLFIX] Small fix in filesystem master because ExceptionMessage.getMessage is expensive,bug fixing
"AccountManagerImpl: Fix method to check and return systemuser, spring injection failsafe",bug fixing
Adds validation of code smells in case expressions. Closes #259,commits that belong to no category
Translation lines. Improved marking feature. Added inverted grouping. Added button for autosetting of PDF field.,adding new features
Need to specify affected database objects for dbdoc and other features,adding new features
Made changes in the API. Removed incomplete features that will not be used. Also changed protected variables to public.,adding new features
"Fix for ISSUE 1111 (and 1112, which is a duplicate).  Corrected link paths for 'New Job' and 'People' in sidebar.",commits that belong to no category
"HBASE-1105  Remove duplicated code in HCM, add javadoc to RegionState, etc.",commits that belong to no category
MAPREDUCE-5268. Improve history server startup performance. Contributed by Karthik Kambatla,improving non-functional requirements
1. add more unit tests to tachyon.client.TachyonClient 2. add unit tests for tachyon.client.RawTable 3. fix a semantics bug caused by thrift bug.,bug fixing
every feature is always a work in progress.,adding new features
CLOUDSTACK-7865: fixed pep8 errors and errors in wrong references,bug fixing
SQL: minor improved on performance on reading a number that already is a number,improving non-functional requirements
Performance improvement in DiskLruCache.readJournalLine().,improving non-functional requirements
[SMALLFIX] Fix failing test BufferedBlockInStreamIntegrationTest,bug fixing
Last changes before 2.4 beta. Updated action enable/disable list and removed DB features from the toolbar.,adding new features
TRUNK 4374: Improve performance of getCountOfConcepts,improving non-functional requirements
cloudStack 3.0 new UI - NaaS - Public page - fix a bug that no data showed in details tab.,bug fixing
[ISPN-97] - Improve configuration processing and maintenance,improving non-functional requirements
#ALLUXIO-2850 Fix checkstyle error.,bug fixing
HBASE-6295  Possible performance improvement in client batch operations: presplit and send in background - addendum,improving non-functional requirements
Big refactoring to improve performance at N levels:,improving non-functional requirements
Re-arranged if/else to improve readability,improving non-functional requirements
CLOUDSTACK-5636: Fixed issue 'Failed to upgrade network offering' in test_vpc_network test suite,bug fixing
TFJ-762 add Application-only authentication feature.,adding new features
CLOUDSTACK-7862: Fixed the script 'maint/test_high_availability.py' - Test Cases failing on Simulator as Testcases try to ssh to the VMs,bug fixing
Added news about windows installer features.,adding new features
HIVE-6968: list bucketing feature does not update the location map for unpartitioned tables,adding new features
Fixed bug on replication and improved performance.,improving non-functional requirements
Remove unnecessary NodeSizeTransformer in Partition. Improve readability of NodeColorTransformer.,improving non-functional requirements
CLOUDSTACK-10099: Fix migrateVirtualMachineWithVolume UI failure (#2277),bug fixing
advanced search - fix a bug that clicking next page will lose advanced search parameters.,bug fixing
AVRO-1348. Java: Improve UTF-8 to String conversion performance in Java 6.,improving non-functional requirements
No need to duplicate close method as it's already inherited from Closeable,commits that belong to no category
added an experimental feature that avoids CPU starvation of larger jobs.,adding new features
[DROOLS-817] Improve performance over large hierarchies,improving non-functional requirements
Improved performance on type checking on alter property,improving non-functional requirements
[TACHYON-1129] Fix a bug that returns wrong value to indicate if worker is local,bug fixing
added account features to cloudstack,adding new features
"Distributed architecture: tuned timeouts, improved performance by avoiding to push to the internal queue if all the synch responses are already arrived",improving non-functional requirements
Improve replication performance and memory usage.,improving non-functional requirements
"Revert ""OPLA: improved performance with variable management (avoiding copy for most of the cases)""",improving non-functional requirements
removing unused feature-data,adding new features
BZ-1004311 - Multiple connections feature can be switched on be setting jbpm.enable.multi.con=false,adding new features
cloudstack 3.0 UI - autoscale - for regular user - fix a bug that createAutoScaleVmProfile API fails because autoscaleuserid is undefined.,bug fixing
CLOUDSTACK-6510: Fix gson serialization exception in storage migration. Gson couldn't serialize,bug fixing
"Countless bug fixes, mostly do do with VR redundancy",bug fixing
Improve performance by recycling DataOutput2 instances,improving non-functional requirements
"bug 6662:  handle a null ip forwarding rule in the API response as 'the rule already exists' since other errors will result in thrown exceptions.  Also, fix up detection of network conflicts and duplicate rules by adding a list of used protocols to the port mappings",bug fixing
CLOUDSTACK-7304: Fixed Exception not raised issue in portable IP test cases,bug fixing
Hiero upgraded to version 5! Supports FreeType and a number of new features.,adding new features
Added a new SQL parser. This parser supports both SQL style line comments and comment blocks. SQL statements can span multiple lines but must be delimited with a semicolon. This allows for improved readability of SQL scripts.,improving non-functional requirements
bug 10406: fixed concurrency problem happening during Agent Transfer Monitor task,bug fixing
Working history feature.  Tweak to paging.,adding new features
Add tryTx feature to Graph.,adding new features
[ALLUXIO-2576] Fix misleading error msg,bug fixing
WFLY-6069 remove duplicate jipijapa module in modules/system/layers/base/org/hibernate/4.3,commits that belong to no category
"bug 9795: Copy Template Dialog, Copy ISO Dialog - fix a bug that entries in zone dropdown are duplicated when the dialog pops up the 2nd time.",bug fixing
Fix OSX cannot due to wrongly declaim ENCAPSULATION_MODE_UDP_TRANSPORT_RFC,bug fixing
bug 5876: Fix error reporting in agent setup so it will not cause a nested exception,bug fixing
[WFLY-5774] Remove methods that duplicate the default implementations.,commits that belong to no category
HIVE-7691 - Improve maintainability of testconfiguration.properties (Reviewed by Szehon via Brock),improving non-functional requirements
"CLOUDSTACK-8075: UI > Instances menu > Add Instance > Select template/ISO > ""shared"" tab > select a shared template, click Next button => fix error ""unable to find matched template object"".",bug fixing
JBPM-5186 - Added indexes to update scripts (to improve query performance on VariableInstanceLog and NodeInstanceLog) (#505),improving non-functional requirements
[Java] Fix bug in generated code if parcelableModel and serializableModel are both true.,bug fixing
"CLOUDSTACK-9470: Fix for SshHelper - test_network_acl was failing on Vmware due to a bug in sshExecute, in which value returned was null and there was still stdout to consume. This fix addresses this problem, consuming stdout peoperly to return expected value in sshExecute",bug fixing
Add Lwjgl3 maximized window features,adding new features
"Add binary protocol backwards compatibility for suggest highlights

This change requires different request processing on the binary protocol
level since it has been we provide compatibilty across minor version.
Yet, the suggest feature is still experimental but we try best effort
to make upgrades as seamless as possible.",adding new features
CLOUDSTACK-3105: UI > Instances menu > Instance detailView > View Hosts > fix a bug that wrong parameter name is passed to listHosts API.,bug fixing
No need to set up the consumer twice. Remove the duplicate code,commits that belong to no category
Moved hideSoftKeyboard to ActivityUtils and added error handling in clickOnScreen and typeText,commits that belong to no category
"New TableLayout for libgdx feature, round size and position.",adding new features
Improved testing; verifies that task/map/distributed objects can be found in the same partition,improving non-functional requirements
"SONAR-6134, SONAR-6048 Improve performance of FS indexation",improving non-functional requirements
A couple quick performance improvements,improving non-functional requirements
[ISPN-97] - Improve configuration processing and maintenance,improving non-functional requirements
CLOUDSTACK-4218: UI > Infrastructure > zone > UCS > UCS manager details tab - fix a bug that passed wrong id to listUcsManagers API.,bug fixing
Try fixing occasional testing failuers in Java client,bug fixing
[SMALLFIX] Fix more failing tests.,bug fixing
"[ISPN-500] (Improve Lucene's performance by using SKIP_LOCKING, SKIP_REMOTE_LOOKUP and batching) - trunk",improving non-functional requirements
Improve performance of Cox PH using Efron's approximation for handling ties.,improving non-functional requirements
cloudStack - Cluster page - fix a bug that Manage Cluster action showed wrong message.,bug fixing
"Cluster page - fix a bug that showed wrong field (""vCenter Datacenter"", ""vCenter Datastore"") in Add Primary Storage dialog.",bug fixing
"Auto-config performance & priority improvements, and make Pypy discoverable.",improving non-functional requirements
"[TACHYON-622] Add a class PlainSaslServer that implements the SaslServer interface -- fix some exception problem,such as message and type",bug fixing
"SONAR-7337 ""sqale_index"" and ""new_technical_debt"" code smell",commits that belong to no category
"By passing TestClass to AllMembersSupplier, we can reuse the annotation parsing already supplied, and improve performance",improving non-functional requirements
"Add ""TimeAct To-Do"" to featured implementations [ci skip]",adding new features
[JENKINS-28446] - Introduce new API method in Queue to optimize the performance of UnlabeledLoadStatistics,improving non-functional requirements
Partial search query performance was improved.,improving non-functional requirements
HBASE-1766 Add advanced features to HFile.main() to be able to analyze storefile problems,adding new features
"SONAR-7337 ""sqale_index"" and ""new_technical_debt"" only use ""Code Smell"" issues",commits that belong to no category
bug CS-14389: removing duplicates,commits that belong to no category
Add preview feature on description textarea.,adding new features
SECOAUTH-328: consolidate AuthorizationRequestManager features,adding new features
Minor: improved performance thanks to the reported by Danny,improving non-functional requirements
HBASE-7911 Remove duplicated code from CreateTableHandler,commits that belong to no category
Removing unused duplicate id fields.,commits that belong to no category
JCLOUDS-200: Consolidate all feature-specific in the AWS provider,adding new features
I think that fixes the compile errors,bug fixing
[ALLUXIO-2572] fix small bug in println,bug fixing
CLOUDSTACK-9728: Fixed traffic sentinel HTTP 414 error response,bug fixing
add KeyColumnValueTest for HazelcastKeyColumnValueStore (+ performance improvements),improving non-functional requirements
Remove duplicate systemUse clausule when fetching service offerings.,commits that belong to no category
ISPN-1276 Improve batching and transactional performance after profiling,improving non-functional requirements
Improved performance of indexing matchers by lazily creating helper objects,improving non-functional requirements
"Fixed profiles for pom, changed log4j back to .17, removed duplicate function in tachyonFile",commits that belong to no category
"CLOUDSTACK-1343: cloudstack UI - baremetal - zone wizard - fix a JS error ""args.data.cluster is undefined"" that happened right after Configuring guest traffic.",bug fixing
improved BigDecimal/BigInteger property performance.,improving non-functional requirements
Integrated a newer version that fixes groovy view reloading problem.,bug fixing
remove java 7 specific language features,adding new features
"improved performance on vertex/edge type check, issue #4105",improving non-functional requirements
[JBAS-8363] resuscitate virtual host feature for WS components - includes non BC API changes,adding new features
awsapi: Fix axiom-impl duplicate dependency,commits that belong to no category
improved servers performance,improving non-functional requirements
[FIXED HUDSON-5753] Integrated winstone 0.9.10-hudson-20 to fix the AJP parsing problem.,bug fixing
Improved performance in server commands reusing the database from the pool,improving non-functional requirements
[updated] minor performance enhancement for EarClippingTriangulator,improving non-functional requirements
"this version of Winstone has a fix in the concurrent session access, plus a performance improvement in the file submission handling.",improving non-functional requirements
"Improved yet performance with huge datasets. When the mmap pool is full, then the channel technique is used. The dramatic slowness of read/write when the mmap pool is exhausted has been fixed.",improving non-functional requirements
Revert: performance improvements,improving non-functional requirements
